[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.001206s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003884s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.001009s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.001133s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=verify&m=verify&rand=1385106826 | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=verify&m=verify&rand=1385106826 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000868s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=verify&m=verify&rand=1385106826 | INFO: Run CheckLang Behavior [ RunTime:0.001540s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=verify&m=verify&rand=1385106826 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002608s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000849s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.001528s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002590s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_admin` [ RunTime:0.003504s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user` [ RunTime:0.002626s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user_info` [ RunTime:0.002510s ]
